央视频道,#genre#
CCTV1,http://192.168.6.211:4022/udp/233.18.204.52:5140
CCTV2,http://192.168.6.211:4022/udp/233.18.204.68:5140
CCTV3,http://192.168.6.211:4022/udp/233.18.204.69:5140
CCTV4,http://192.168.6.211:4022/udp/233.18.204.70:5140
CCTV4美洲,http://dsl1.oni2023.uk:8888/udp/239.253.43.121:5146
CCTV4欧洲,http://dsl1.oni2023.uk:8888/udp/239.253.43.120:5146
CCTV4美洲,http://baota.guangyuan.site:8188/udp/239.253.43.121:5146
CCTV4欧洲,http://baota.guangyuan.site:8188/udp/239.253.43.120:5146
CCTV5,http://192.168.6.211:4022/udp/233.18.204.71:5140
CCTV5+,http://192.168.6.211:4022/udp/233.18.204.67:5140
CCTV6,http://192.168.6.211:4022/udp/233.18.204.72:5140
CCTV7,http://192.168.6.211:4022/udp/233.18.204.73:5140
CCTV8,http://192.168.6.211:4022/udp/233.18.204.74:5140
CCTV9,http://192.168.6.211:4022/udp/233.18.204.75:5140
CCTV10,http://192.168.6.211:4022/udp/233.18.204.76:5140
CCTV11,http://192.168.6.211:4022/udp/233.18.204.77:5140
CCTV12,http://192.168.6.211:4022/udp/233.18.204.78:5140
CCTV13,http://192.168.6.211:4022/udp/233.18.204.79:5140
CCTV14,http://192.168.6.211:4022/udp/233.18.204.80:5140
CCTV15,http://192.168.6.211:4022/udp/233.18.204.81:5140
CCTV16,http://192.168.6.211:4022/udp/233.18.204.82:5140
CCTV16奥运,http://192.168.6.211:4022/udp/233.18.204.114:5140
CCTV17,http://192.168.6.211:4022/udp/233.18.204.83:5140
CCTV4K,http://192.168.6.211:4022/udp/233.18.204.204:5140
CCTV风云足球,http://192.168.6.211:4022/udp/233.18.204.176:5140
CCTV风云剧场,http://192.168.6.211:4022/udp/233.18.204.183:5140
CCTV风云音乐,http://192.168.6.211:4022/udp/233.18.204.185:5140
CCTV怀旧剧场,http://192.168.6.211:4022/udp/233.18.204.182:5140
CCTV第一剧场,http://192.168.6.211:4022/udp/233.18.204.184:5140
CCTV央视台球,http://192.168.6.211:4022/udp/233.18.204.177:5140
CCTV兵器科技,http://192.168.6.211:4022/udp/233.18.204.178:5140
CCTV世界地理,http://192.168.6.211:4022/udp/233.18.204.179:5140
